Year,Month,Day,date,Time of Tweet,text,sentiment,Platform,word_count,flag_short,text_raw
2015,12,22,2015-12-22,morning,i am playing minecraft video game i am addicated to it,positive,Facebook,9,FALSE,i'm playing minecraft video game. i'm addicated to it.
2015,12,18,2015-12-18,noon,see you in the cloud,neutral,Twitter,5,FALSE,see you in the cloud
2015,12,22,2015-12-22,morning,lets go its time to play cricket match,positive,Facebook,8,FALSE,"lets go, its time to play cricket match"
2015,12,18,2015-12-18,noon,hey everyone do you watch cricket match between eng vs aus yesterday,neutral,Twitter,12,FALSE,"hey everyone, do you watch cricket match between eng vs aus yesterday"
2015,12,22,2015-12-22,morning,we never miss icarly my son has a huge crush on miranda,positive,Facebook,13,FALSE,we never miss icarly - my son has a huge crush on miranda
2015,12,18,2015-12-18,noon,saw james carville in the store today his head is really that bald,neutral,Twitter,13,FALSE,saw james carville in the store today. his head is really that bald
2015,12,1,2015-12-01,night,red top tabloids build excuse me up knock excuse me down,neutral,Instagram,9,FALSE,"red top tabloids, build em up, knock em down"
2015,12,18,2015-12-18,noon,saw a black snake in the garden went back for a picture and it was gone,neutral,Twitter,16,FALSE,saw a black snake in the garden. went back for a picture and it was gone
2016,2,28,2016-02-28,noon,i need coffee too,neutral,Twitter,4,FALSE,i need coffee too.
2016,2,28,2016-02-28,noon,errors are red but my life is blue i love rose and your lips baby,positive,Twitter,15,FALSE,"errors are red but my life is blue, i love rose and your lips baby"
2016,3,8,2016-03-08,noon,im not sleeping at all until accepts my appology,negative,Twitter,9,FALSE,i`m not sleeping at all until accepts my appology
2016,3,8,2016-03-08,night,i am studying in psychology,negative,Facebook,4,FALSE,i'm studying in psychology
2016,3,8,2016-03-08,night,wolverine was boss seriously and william was in it what the,negative,Facebook,13,FALSE,"wolverine was boss! seriously, and will.i.am was in it, what the **** ??"
2016,4,10,2016-04-10,night,i really really like the song cardigan by taylor swift,positive,Twitter,10,FALSE,i really really like the song cardigan by taylor swift
2016,5,15,2016-05-15,morning,my sharpie is running dangerously low on ink,negative,Facebook,8,FALSE,my sharpie is running dangerously low on ink
2016,6,15,2016-06-15,morning,now im sad but im not giving in firsti didnt do nothing,negative,Instagram,13,FALSE,now im sad but im not giving in first..i didnt do nothing!! :**-(
2016,7,1,2016-07-01,morning,follow me i will follow you too,neutral,Facebook,7,FALSE,"follow me, i will follow you too"
2016,7,10,2016-07-10,night,laying in bed today i learned workkk oh the life definitely pinched a nerve,negative,Instagram,12,FALSE,laying in bed til workkk.. oh the life. definitely pinched a nerve.
2016,8,20,2016-08-20,morning,bad day the day you realize what mess youve put me through will be one of the happiest days of my life,neutral,Facebook,22,FALSE,bad day the day you realize what mess you`ve put me through will be one of the happiest days of my life..
2016,9,22,2016-09-22,noon,walking to class i hate not having a bikeespecially mine,negative,Twitter,10,FALSE,walking to class. i hate not having a bike..especially mine.
2016,9,28,2016-09-28,morning,bumping dj opus in the drunk in the car laughing my ass off dont act like you dont know,negative,Twitter,16,FALSE,bumping dj opus in the drunk in the car. lmao. don`t act like you don`t know.
2016,10,18,2016-10-18,morning,i live for pain bring it on,neutral,Instagram,7,FALSE,"i live for pain, bring it on"
2016,11,22,2016-11-22,night,its night am feeling neutral,neutral,Facebook,6,FALSE,"its night 2 am, feeling neutral"
2016,11,15,2016-11-15,noon,i want to go to music tonight but i lost my voice,negative,Instagram,12,FALSE,i want to go to music tonight but i lost my voice.
2016,11,15,2016-11-15,night,always somewhere i miss you where i have been,neutral,Twitter,9,FALSE,always somewhere i miss you where i have been
2016,11,28,2016-11-28,night,i think its under a honeymoon by the good life either that or its under a honey moon by joseph arthur,neutral,Instagram,22,FALSE,i think it`s under a honeymoon by the good life -- either that or it`s under a honey moon by joseph arthur.
2016,12,22,2016-12-22,morning,tonight in party w my girls minus vita,positive,Facebook,8,FALSE,tonight in party w/ my girls (minus vita)
2016,12,5,2016-12-05,noon,my phone passed away yesterday he jumped off the table searching for a new phone,negative,Instagram,15,FALSE,my phone passed away yesterday.. he jumped off the table searching for a new phone..
2016,12,12,2016-12-12,noon,goodmorning,positive,Twitter,1,TRUE,goodmorning
2017,1,12,2017-01-12,noon,looking forward to your gig in ireland see ya there,neutral,Twitter,10,FALSE,looking forward to your gig in ireland!! see ya there!
2017,3,28,2017-03-28,morning,today is a busy day exhausting,negative,Facebook,6,FALSE,today is a busy day. exhausting!
2017,3,20,2017-03-20,night,gettn ready to take a trip to jersey my dads not doing so good he needs a new heartwhoeva sees this please say a prayer for my dad,negative,Facebook,28,FALSE,"gettn ready to take a trip to jersey my dad`s not doing so good, he needs a new heart~whoeva see`s this please say a prayer for my dad"
2017,4,15,2017-04-15,noon,i wish i could get my nails done stupid job,negative,Twitter,10,FALSE,i wish i could get my nails done stupid job
2017,6,12,2017-06-12,noon,i am lost please help me find a good home,negative,Instagram,10,FALSE,i am lost. please help me find a good home.
2017,6,18,2017-06-18,morning,yea i should know but tell me everything ps send me direct messages telling haha,neutral,Facebook,15,FALSE,"yea, i should know.. but tell me everything! ps: send me direct messages telling.. haha"
2017,7,18,2017-07-18,morning,come and save me from my packing please,neutral,Instagram,8,FALSE,come and save me from my packing please?!
2017,8,18,2017-08-18,night,do not angry me,negative,Facebook,3,FALSE,don't angry me
2017,8,25,2017-08-25,noon,ahhh i slept through the game im gonna try my best to watch tomorrow though i hope we play army,neutral,Twitter,20,FALSE,"ahhh, i slept through the game. i`m gonna try my best to watch tomorrow though. i hope we play army."
2017,8,28,2017-08-28,night,just discovered a shortcoming of gravity when you use twitpic integrated it doesnt subtract the pic url from the character limit,neutral,Facebook,22,FALSE,just discovered a shortcoming of gravity. when you use twitpic (integrated) it doesn`t subtract the pic url from the 140 character limit
2017,8,22,2017-08-22,night,slipped up and caught the flu feeling like poop,negative,Facebook,9,FALSE,slipped up and caught the flu feeling like poop!
2017,9,10,2017-09-10,morning,today we will go a concert,neutral,Facebook,6,FALSE,today we will go a concert
2017,9,10,2017-09-10,morning,downloading songs while trying to sneak a lil homework in too which should be my main priority not songs laughing out loud,neutral,Facebook,20,FALSE,"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol"
2017,11,5,2017-11-05,morning,do not distrube me,negative,Facebook,3,FALSE,don't distrube me
2017,11,15,2017-11-15,noon,if you do please pray me lord knows i need it,neutral,Facebook,12,FALSE,"if you do, please pray 4 me. lord knows i need it."
2017,11,5,2017-11-05,morning,but you always have lee lets go to paris,neutral,Facebook,9,FALSE,but you always have lee. let`s go to paris
2017,12,28,2017-12-28,morning,am feedings for the baby are fun when he is all smiles and coos,positive,Facebook,15,FALSE,2 am feedings for the baby are fun when he is all smiles and coos
2017,12,28,2017-12-28,noon,soooo high,neutral,Instagram,2,TRUE,soooo high
2017,12,1,2017-12-01,noon,feeling smooth like chrome,positive,Twitter,4,FALSE,feeling smooth like chrome
2017,12,22,2017-12-22,night,the little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww url,neutral,Facebook,23,FALSE,the little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww URL
2018,3,10,2018-03-10,morning,my sunburn is peeling,negative,Instagram,4,FALSE,"my sunburn is peeling,"
2018,3,15,2018-03-15,night,took a shift tomorrow i dont really feel like working right now,negative,Facebook,12,FALSE,took a shift tomorrow. i don`t really feel like working right now.
2018,5,28,2018-05-28,morning,today first time i arrive in the boat its amazing journey,positive,Facebook,11,FALSE,today first time i arrive in the boat. its amazing journey
2018,6,22,2018-06-22,noon,not going to dwell on it it happened its passed just a shame as he was so supportive such is life x,negative,Twitter,22,FALSE,"not going to dwell on it. it happened, it`s passed. just a shame as he was so supportive! such is life! x"
2018,6,15,2018-06-15,noon,my frist post off to find a new car for my parents exciting,positive,Facebook,13,FALSE,"my frist post.. off to find a new car for my parents, exciting!"
2018,6,3,2018-06-03,night,damnit all that sucks you were one of the ones i thought id drag back laughing out loud,negative,Instagram,16,FALSE,damnit all. that sucks. you were one of the ones i thought i`d drag back lol
2018,7,10,2018-07-10,noon,degrees gross skies and thunderstormsperfect match for my mood laughing out loud,positive,Twitter,11,FALSE,"90 degrees, gross skies, and thunderstorms..perfect match for my mood lol"
2018,7,15,2018-07-15,morning,the birds are out oh man thats not cool i didnt sleep yet for the night,negative,Twitter,17,FALSE,"the birds are out,, oh man.. that`s not cool && i didn`t sleep yet for the night!!"
2018,7,10,2018-07-10,noon,im up i have a plan to transform my bedroom today random,neutral,Instagram,12,FALSE,i`m up. i have a plan to transform my bedroom today. random.
2018,8,18,2018-08-18,morning,what a great day looks like dream,positive,Twitter,7,FALSE,what a great day!! looks like dream.
2018,8,18,2018-08-18,noon,i feel sorry i miss you here in the sea beach,positive,Facebook,11,FALSE,"i feel sorry, i miss you here in the sea beach"
2018,8,7,2018-08-07,night,we are of like minds this evening my dear,neutral,Facebook,10,FALSE,"we are of like minds this evening , my dear!"
2018,8,10,2018-08-10,night,congratulations you guys finish a month early than we do booo,positive,Twitter,12,FALSE,congratulations ! you guys finish a month early than we do. booo
2018,9,5,2018-09-05,noon,juss came back from barisal,neutral,Twitter,5,FALSE,juss came back from barisal
2018,9,22,2018-09-22,morning,i want to wake up early and get a coffee tomorrow today its going to be a busyy day but have to keep writing booo whoo,neutral,Twitter,27,FALSE,"i want to wake up early, and get a coffee tomorrow (today) ! it`s going to be a busyy day! but have to keep writing.. booo whoo!"
2018,9,5,2018-09-05,night,argh noo missed the killers on wossy that sucks missed out on brandon total failure anyone know if its repeated must investigate,negative,Instagram,22,FALSE,argh noo! missed the killers on wossy! that sucks! missed out on brandon. total failure! anyone know if it`s repeated? must investigate!
2018,9,22,2018-09-22,morning,the no pants idea could be the new attempt worldwide to attract business back to the airlines,neutral,Instagram,17,FALSE,the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.
2018,10,12,2018-10-12,morning,i just realized that i cant forward text msgs with my iphone,neutral,Twitter,12,FALSE,i just realized that i can`t forward text msgs with my iphone.
2018,11,5,2018-11-05,morning,romance zero is funny,positive,Facebook,4,FALSE,romance zero is funny
2018,11,5,2018-11-05,morning,yor are so unromantic,negative,Facebook,4,FALSE,yor are so unromantic
2018,11,7,2018-11-07,noon,hicks are mean,negative,Instagram,3,FALSE,hicks are mean!
2018,12,5,2018-12-05,night,feeling gloomy,negative,Instagram,2,TRUE,feeling gloomy
2018,12,10,2018-12-10,noon,i know,neutral,Twitter,2,TRUE,i know!!
2018,12,5,2018-12-05,night,errors are red but my life is looks like blue film,negative,Instagram,11,FALSE,errors are red but my life is looks like blue film
2018,12,15,2018-12-15,night,me at forever ethan couldnt be there,negative,Facebook,8,FALSE,me at forever 21 ethan couldn`t be there
2018,12,5,2018-12-05,night,my street fighter iv skills are lacking cant beat seth on easy,negative,Instagram,12,FALSE,"my street fighter iv skills are lacking, can`t beat seth on easy."
2019,2,25,2019-02-25,night,im soooooo sleeeeepy the last day o school was todaysniffle,negative,Facebook,10,FALSE,i`m soooooo sleeeeepy!! the last day o` school was today..sniffle..
2019,2,11,2019-02-11,noon,ohoh i missed all your tweets im gonna have to stay awake all night to see the announcement now time difference,negative,Twitter,22,FALSE,"ohoh i missed all your tweets im gonna have to stay awake all night to see the announcement now, **** time difference"
2019,3,2,2019-03-02,night,oh maya im so sorry i hope you find her soon,neutral,Twitter,11,FALSE,"oh maya, i`m so sorry!! i hope you find her soon!!"
2019,3,2,2019-03-02,noon,is cleaning the house for her family who is comming later today,neutral,Instagram,12,FALSE,is cleaning the house for her family who is comming later today..
2019,3,8,2019-03-08,noon,just in case you wonder we are really busy today and this coming with with adding tons of new blogs and updates stay tuned,neutral,Twitter,24,FALSE,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned"
2019,3,8,2019-03-08,morning,seriously bored without anyone to talk to but not tired enough for sleep,negative,Twitter,13,FALSE,seriously bored without anyone to talk to.. but not tired enough for sleep
2019,3,28,2019-03-28,night,nothing aimed at you just joining insorry,negative,Facebook,7,FALSE,"nothing aimed at you, just joining in..sorry"
2019,3,25,2019-03-25,morning,actually i wish i was back in tahoe i miss it there,negative,Instagram,12,FALSE,"actually, i wish i was back in tahoe. i miss it there."
2019,4,15,2019-04-15,morning,thats very funny cute kids,positive,Instagram,5,FALSE,that`s very funny. cute kids.
2019,4,18,2019-04-18,night,yay three followers good to know more than one person in this big wide world likes fishies,positive,Facebook,17,FALSE,"yay, three followers! good to know more than one person in this big wide world likes fishies."
2019,4,18,2019-04-18,noon,there are people and then there are pencils some are sharp some are not and some can be sharpened my pencil philosophy,neutral,Instagram,22,FALSE,"'there are people and then there are pencils' some are sharp, some are not and some can be sharpened my pencil philosophy.."
2019,5,15,2019-05-15,noon,both electronic keys stopped working there is no keyhole cant get in my car so much for technology,negative,Twitter,18,FALSE,both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology
2019,5,5,2019-05-05,night,playing singstar without my fave duetter,negative,Twitter,6,FALSE,playing singstar without my fave duetter
2019,6,10,2019-06-10,night,hell yeah,neutral,Instagram,2,TRUE,hell yeah!
2019,6,28,2019-06-28,morning,im taking a twitter break cell is dying,negative,Instagram,8,FALSE,i`m taking a twitter break. cell is dying
2019,6,25,2019-06-25,night,a mouth for sure,positive,Facebook,4,FALSE,a mouth for sure
2019,7,28,2019-07-28,night,oh nice going,positive,Instagram,3,FALSE,oh nice going!
2019,8,28,2019-08-28,night,i tried to shtdown my pc and accenditenly i click in the restart button its really disgusting,negative,Twitter,17,FALSE,i tried to shtdown my pc and accenditenly i click in the restart button. its really disgusting
2019,8,5,2019-08-05,noon,im soo bored i do not like this music video,negative,Twitter,9,FALSE,"im soo bored, i don't like this music video"
2019,8,30,2019-08-30,noon,ive heard this fall im waiting too,neutral,Twitter,7,FALSE,i`ve heard this fall. i`m waiting too!
2019,8,20,2019-08-20,noon,morning if i get to see it ill let you know right now im going to go see wolverine,neutral,Twitter,19,FALSE,"morning! if i get to see it, i`ll let you know. right now, i`m going to go see wolverine."
2019,9,14,2019-09-14,noon,car not happy big big dent in boot hoping theyre not going to write it off crossing fingers and waiting,neutral,Twitter,20,FALSE,"car not happy, big big dent in boot! hoping theyre not going to write it off, crossing fingers and waiting"
2019,9,28,2019-09-28,night,nd aww thanks,positive,Instagram,3,FALSE,_2nd aww thanks!
2019,10,28,2019-10-28,night,both of you,neutral,Twitter,3,FALSE,both of you
2019,10,18,2019-10-18,morning,how looks like our company new logo,positive,Instagram,7,FALSE,how looks like our company new logo?
2019,10,8,2019-10-08,noon,still jealous,negative,Twitter,2,TRUE,still jealous
2019,11,30,2019-11-30,noon,i will never fall in love until i found you,positive,Instagram,10,FALSE,i will never fall in love until i found you
2019,11,30,2019-11-30,morning,playing with kids its amazing,positive,Facebook,5,FALSE,"playing with kids, its amazing"
2019,11,18,2019-11-18,morning,i am in the village now and there hardly found internate feeling gloomy,negative,Instagram,12,FALSE,"i'm in the village now and there hardly found internate, feeling gloomy"
2019,11,3,2019-11-03,morning,which means youre just going to have to come back to vancouver and have it our way hahah,neutral,Facebook,18,FALSE,which means you`re just going to have to come back to vancouver and have it our way! hahah
2019,11,18,2019-11-18,noon,watching ellen love her then doing the dishes and tanning its gorgeous out,positive,Facebook,13,FALSE,watching ellen love her!! then doing the dishes and tanning ..it`s gorgeous out!
2019,11,18,2019-11-18,night,whats goin on hun im worried about you,negative,Instagram,8,FALSE,what`s goin on hun? i`m worried about you
2019,11,28,2019-11-28,noon,qood morninq,neutral,Twitter,2,TRUE,qood morninq
2019,11,10,2019-11-10,morning,my name is tony not hey poor tony,negative,Instagram,9,FALSE,'my name is tony!! ..not hey!!' - poor tony
2019,11,8,2019-11-08,morning,laughing out loud just dont ever forget me,positive,Instagram,6,FALSE,lol. just don`t ever forget me
2019,11,2,2019-11-02,noon,miles down only to go thats ok u on the radio alwas helps,positive,Facebook,15,FALSE,"250 miles down, only 1750 to go. thats ok, u2 on the radio alwas helps."
2019,12,3,2019-12-03,noon,okay so im dedicating my th tweet to the fact that im going to the apple store because there is a huge crack on the glass screen,neutral,Instagram,27,FALSE,okay so i`m dedicating my 300th tweet to the fact that i`m going to the apple store because there is a huge crack on the glass screen!
2020,1,5,2020-01-05,morning,happy mothers day,positive,Facebook,3,FALSE,happy mothers day.!
2020,1,5,2020-01-05,noon,laughs im glad that you have self confidence its a wonderful trait to have ill applaud extra loud for it okay,positive,Twitter,22,FALSE,"laughs i`m glad that you have self confidence - it`s a wonderful trait to have i`ll applaud extra loud for it, okay?"
2020,1,5,2020-01-05,night,thanks,positive,Instagram,1,TRUE,thanks
2020,1,5,2020-01-05,noon,laughs im glad that you have self confidence its a wonderful trait to have ill applaud extra loud for it okay,positive,Twitter,22,FALSE,"*laughs* i`m glad that you have self confidence - it`s a wonderful trait to have i`ll applaud extra loud for it, okay?"
2020,2,22,2020-02-22,noon,i waited listening to wind blowing through the tumbleweed are none of you old enough to know what to do when someone says crackerack,neutral,Twitter,24,FALSE,"i waited, listening to wind blowing through the tumbleweed? are none of you old enough to know what to do when someone says 'crackerack'?"
2020,2,28,2020-02-28,night,hahahha laughing out loud true that i always remember my bd but i can never remember what date or even day it is,neutral,Twitter,21,FALSE,hahahha lol true that! i always remember my bd but i can never remember what date or even day it is
2020,2,10,2020-02-10,morning,i make that same face when i get home and your mom is watching soaps,neutral,Facebook,15,FALSE,i make that same face when i get home and your mom is watching soaps.
2020,3,5,2020-03-05,morning,i am come back home my past job its really good time for me,positive,Facebook,13,FALSE,"i'm come back home, my past job, its really good time for me"
2020,3,1,2020-03-01,night,awesome lucky you,positive,Instagram,3,FALSE,awesome lucky you
2020,3,15,2020-03-15,morning,i have an urge to play wow but i have to wait weeks today i learned im at my dads days today i learned mcfly im so excited l,positive,Instagram,26,FALSE,"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47days til mcfly, im so excited (l)"
2020,4,2,2020-04-02,night,went to sleep and there is a power cut in the village,neutral,Facebook,12,FALSE,went to sleep and there is a power cut in the village.
2020,4,2,2020-04-02,morning,i talk to you,neutral,Facebook,4,FALSE,i talk to you
2020,4,5,2020-04-05,morning,aww you loooove me,positive,Facebook,4,FALSE,aww you loooove me
2020,4,15,2020-04-15,morning,morning tweeple,positive,Instagram,2,TRUE,morning tweeple
2020,4,2,2020-04-02,morning,that makes my day so much better its been a rough one did i mention i love the new photo,neutral,Instagram,20,FALSE,"that makes my day so much better, it`s been a rough one. did i mention i love the new photo!"
2020,5,11,2020-05-11,night,australia cricket team i love you,positive,Instagram,6,FALSE,australia cricket team i love you
2020,5,12,2020-05-12,morning,family is herehanging with them,neutral,Instagram,5,FALSE,"family is here,hanging with them"
2020,5,11,2020-05-11,night,i love blue and programming,neutral,Instagram,5,FALSE,i love blue and programming
2020,6,22,2020-06-22,morning,him shirt at dinner do you need to ask does it actually have ville on it,neutral,Facebook,16,FALSE,him shirt at dinner? do you need to ask?? does it actually have ville on it?
2020,6,15,2020-06-15,noon,why not now you made me sad i thought youd be jumping for joy,neutral,Twitter,14,FALSE,why not now you made me sad i thought you`d be jumping for joy
2020,7,18,2020-07-18,noon,i dont want to sit at home on prom night someone hang out with me,negative,Facebook,15,FALSE,i don`t want to sit at home on prom night. someone hang out with me
2020,8,29,2020-08-29,morning,mayday,neutral,Instagram,1,TRUE,mayday?!
2020,8,29,2020-08-29,night,i love to but im only available from pm and where dear,positive,Facebook,12,FALSE,i love to! but i`m only available from 5pm. and where dear?
2020,8,8,2020-08-08,morning,i only do computers am hopeless at everything else,negative,Facebook,9,FALSE,i only do computers. am hopeless at everything else
2020,8,20,2020-08-20,morning,i think i need some new friends,neutral,Facebook,7,FALSE,i think i need some new friends
2020,8,12,2020-08-12,noon,is hungry twitter i want food,neutral,Twitter,6,FALSE,"is hungry, twitter. i want food."
2020,9,18,2020-09-18,night,i watching a movie name adimurie,positive,Instagram,6,FALSE,i' watching a movie name adimurie
2020,9,15,2020-09-15,morning,decde i finally just have hour of history at pm but i went to my highschool at am to make some homework with a friend,neutral,Instagram,28,FALSE,_dec0de i finally just have 1 hour of history.. at 3.00 pm! but i went to my highschool at 8.00 am to make some homework with a friend
2020,9,10,2020-09-10,night,just about to go home im usually mr positive but this has been one of those daze well mins until tomorrow,neutral,Twitter,22,FALSE,"just about to go home. i`m usually `mr. positive` but this has been one of those daze. well, 15 mins until tomorrow!"
2020,11,29,2020-11-29,noon,i have bad headech what i need to do now,negative,Twitter,10,FALSE,"i have bad headech, what i need to do now"
2020,11,15,2020-11-15,night,im sorry to hear that,negative,Facebook,5,FALSE,i`m sorry to hear that.
2020,11,1,2020-11-01,noon,you really dont think so maybe your rightlaughing out loud by the way what phone you using think you told me beforei might have an app for you,neutral,Instagram,26,FALSE,you really don`t think so? maybe your right..lol. by the way what phone you using? think you told me b4..i might have an app for you
2020,11,18,2020-11-18,night,url before they put a camera in the smokers pit i can no longer vandalize that door without being caught,neutral,Facebook,21,FALSE,"URL - before they put a camera in the smokers pit. i can no longer vandalize that door, without being caught."
2020,12,17,2020-12-17,night,had a great time out in the beer garden wit the boyos i think the sun got to me a bit though feel a bit ill,neutral,Instagram,28,FALSE,"had a great time out in the beer garden wit the boyos !! i think the sun got to me a bit though, feel a bit ill !!"
2020,12,15,2020-12-15,night,discovered and are sharing on g reader with me and didnt even know it sigh im such a g reader newb,neutral,Twitter,21,FALSE,discovered and are sharing on g reader with me and didn`t even know it. sigh.. i`m such a g reader newb.
2020,12,15,2020-12-15,morning,is chilled out tonite so cannot spew venom or write funny seems like these are the only styles she has,neutral,Instagram,21,FALSE,"is chilled out tonite, so cannot spew venom or write funny. seems like these are the only 2 styles she has"
2021,1,15,2021-01-15,morning,today is our eee day,neutral,Instagram,5,FALSE,today is our eee day
2021,1,15,2021-01-15,morning,dont know whether that helps google it to know more,neutral,Instagram,10,FALSE,dont know whether that helps. google it to know more
2021,1,15,2021-01-15,morning,tamlyn wishes she was as cool as my sock draw,positive,Twitter,10,FALSE,tamlyn wishes she was as cool as my sock draw
2021,2,28,2021-02-28,morning,let me know how that turns out,neutral,Twitter,7,FALSE,let me know how that turns out!!
2021,2,10,2021-02-10,night,yeah i was thinking about that ahaha,positive,Facebook,7,FALSE,"yeah i was thinking about that ,ahaha"
2021,2,25,2021-02-25,morning,the plan to not spend money is not going well,negative,Instagram,10,FALSE,the plan to not spend money is not going well
2021,3,2,2021-03-02,noon,yep finished chocked full of spelling and grammatical errors but im cleaning it up tomorrow and popping it up hehe,negative,Instagram,20,FALSE,"yep, finished, chocked full of spelling and grammatical errors, but i`m cleaning it up tomorrow and popping it up hehe"
2021,3,15,2021-03-15,morning,youre missing out bb im such a cereal nut i think i like every kind available,positive,Facebook,16,FALSE,"you`re missing out, bb! i`m such a cereal nut, i think i like every kind available."
2021,4,15,2021-04-15,night,its a peter gordon morning and i go to pieces and i wanna hide go to pieces and i almost die ever url,neutral,Facebook,28,FALSE,"it`s a peter & gordon morning -> and i, go to pieces and i wanna hide / go to pieces and i almost die / ever.. ? URL"
2021,4,15,2021-04-15,noon,gonna celebrate mothers day with the family but gonna start the partying tonite,positive,Twitter,13,FALSE,gonna celebrate mothers day with the family but gonna start the partying tonite
2021,4,5,2021-04-05,noon,hey i didnt get any,neutral,Facebook,6,FALSE,"hey, i didn`t get any !!"
2021,5,20,2021-05-20,morning,im not bannished but i am at work till,negative,Facebook,10,FALSE,im not bannished.. but i am at work till 6
2021,5,10,2021-05-10,night,sucks,negative,Instagram,1,TRUE,?sucks!?..
2021,6,10,2021-06-10,night,just woke up o mums singing to her new gnr cd replacement i bought because im a good daughter,positive,Instagram,19,FALSE,just woke up :o mums singing to her new gn`r cd replacement i bought because im a good daughter
2021,7,20,2021-07-20,noon,you know you want to come keep me company whilst mums at her friends for the night its such a nice evening,positive,Instagram,22,FALSE,you know you want to come keep me company whilst mum`s at her friends for the night it`s such a nice evening!
2021,8,20,2021-08-20,noon,i miss daddy and mommy,negative,Facebook,5,FALSE,i miss daddy and mommy
2021,8,10,2021-08-10,morning,my boss shes moving to nyc,neutral,Facebook,6,FALSE,my boss. she`s moving to nyc
2021,8,15,2021-08-15,noon,perky purple nail polish isnt as perky when its chipped,neutral,Twitter,10,FALSE,perky purple nail polish isn`t as perky when its chipped
2021,8,2,2021-08-02,noon,thats just weird oh and what was it you were drawing for me,negative,Instagram,14,FALSE,"that`s just weird.. :\ oh, and what was it you were drawing for me?"
2021,9,20,2021-09-20,noon,what happened i thought you were coming back today,neutral,Twitter,9,FALSE,what happened? i thought you were coming back today..
2021,9,20,2021-09-20,night,laughing out loud dammit well then next time then,negative,Facebook,7,FALSE,lol dammit well then next time then
