Year,date,Time of Tweet,sentiment,Platform,word,word_stem
2013,2013-04-20,morning,negative,Facebook,postr,postr
2013,2013-04-20,morning,negative,Facebook,meant,meant
2013,2013-04-20,morning,negative,Facebook,relaxing,relax
2014,2014-06-03,noon,neutral,Twitter,rather,rather
2014,2014-06-03,noon,neutral,Twitter,early,earli
2014,2014-06-03,noon,neutral,Twitter,runbut,runbut
2014,2014-06-03,noon,neutral,Twitter,morning,morn
2014,2014-06-03,noon,neutral,Twitter,runner,runner
2014,2014-07-20,morning,neutral,Twitter,bathing,bath
2014,2014-07-20,morning,neutral,Twitter,two,two
2014,2014-07-20,morning,neutral,Twitter,little,littl
2014,2014-07-20,morning,neutral,Twitter,angels,angel
2014,2014-07-20,morning,neutral,Twitter,keyla,keyla
2014,2014-07-20,morning,neutral,Twitter,janice,janic
2014,2014-07-10,morning,positive,Twitter,means,mean
2014,2014-07-10,morning,positive,Twitter,now,now
2014,2014-07-10,morning,positive,Twitter,famous,famou
2014,2014-07-10,morning,positive,Twitter,congrats,congrat
2015,2015-06-28,morning,positive,Instagram,love,love
2015,2015-06-28,morning,positive,Instagram,mine,mine
2015,2015-06-28,morning,positive,Instagram,happy,happi
2015,2015-06-28,morning,positive,Instagram,mothercafcbfcbds,mothercafcbfcbd
2015,2015-06-28,morning,positive,Instagram,day,dai
2015,2015-06-28,morning,positive,Instagram,mom,mom
2015,2015-06-28,morning,positive,Instagram,john,john
2015,2015-06-28,morning,positive,Instagram,taylor,taylor
2015,2015-06-28,morning,positive,Instagram,much,much
2015,2015-06-28,morning,positive,Instagram,love,love
2015,2015-07-12,night,positive,Twitter,heading,head
2015,2015-07-12,night,positive,Twitter,home,home
2015,2015-07-12,night,positive,Twitter,foot,foot
2015,2015-07-12,night,positive,Twitter,surgery,surgeri
2015,2015-07-12,night,positive,Twitter,wishing,wish
2015,2015-07-12,night,positive,Twitter,boyfriend,boyfriend
2015,2015-07-12,night,positive,Twitter,come,come
2015,2015-07-12,night,positive,Twitter,cuddle,cuddl
2015,2015-08-22,morning,positive,Instagram,arch,arch
2015,2015-08-22,morning,positive,Instagram,drawing,draw
2015,2015-08-22,morning,positive,Instagram,checking,check
2015,2015-08-22,morning,positive,Instagram,mvccs,mvcc
2015,2015-08-22,morning,positive,Instagram,cad,cad
2015,2015-08-22,morning,positive,Instagram,degree,degre
2015,2015-08-22,morning,positive,Instagram,looks,look
2015,2015-08-22,morning,positive,Instagram,good,good
2015,2015-09-12,night,positive,Facebook,sure,sure
2015,2015-09-12,night,positive,Facebook,hope,hope
2015,2015-09-12,night,positive,Facebook,becomes,becom
2015,2015-09-12,night,positive,Facebook,afternoon,afternoon
2015,2015-09-01,night,negative,Facebook,bueno,bueno
2015,2015-09-01,night,negative,Facebook,guess,guess
2015,2015-09-01,night,negative,Facebook,entertain,entertain
2015,2015-09-01,morning,negative,Instagram,hunrgy,hunrgi
2015,2015-09-01,morning,negative,Instagram,right,right
2015,2015-09-01,morning,negative,Instagram,now,now
2015,2015-09-01,morning,negative,Instagram,heels,heel
2015,2015-09-01,morning,negative,Instagram,kill,kill
2015,2015-09-01,morning,negative,Instagram,can,can
2015,2015-09-01,morning,negative,Instagram,hardly,hardli
2015,2015-09-01,morning,negative,Instagram,walk,walk
2015,2015-09-28,morning,negative,Instagram,waterfront,waterfront
2015,2015-09-28,morning,negative,Instagram,anymore,anymor
2015,2015-09-28,morning,negative,Instagram,faccia,faccia
2015,2015-09-28,morning,negative,Instagram,luna,luna
2015,2015-09-28,morning,negative,Instagram,clarendon,clarendon
2015,2015-10-18,night,negative,Twitter,according,accord
2015,2015-10-18,night,negative,Twitter,quarter,quarter
2015,2015-10-18,night,negative,Twitter,families,famili
2015,2015-10-18,night,negative,Twitter,six,six
2015,2015-10-18,night,negative,Twitter,live,live
2015,2015-10-18,night,negative,Twitter,poverty,poverti
2015,2015-11-10,noon,positive,Instagram,getting,get
2015,2015-11-10,noon,positive,Instagram,ready,readi
2015,2015-11-10,noon,positive,Instagram,week,week
2015,2015-11-10,noon,positive,Instagram,nice,nice
2015,2015-11-10,noon,positive,Instagram,today,todai
2015,2015-11-10,noon,positive,Instagram,stuck,stuck
2015,2015-11-10,noon,positive,Instagram,inside,insid
2015,2015-11-10,noon,positive,Instagram,working,work
2015,2015-11-10,night,positive,Facebook,url,url
2015,2015-11-10,night,positive,Facebook,bought,bought
2015,2015-11-10,night,positive,Facebook,ludi,ludi
2015,2015-11-10,night,positive,Facebook,rug,rug
2015,2015-11-10,night,positive,Facebook,dogs,dog
2015,2015-11-10,night,positive,Facebook,best,best
2015,2015-12-22,morning,positive,Facebook,playing,plai
2015,2015-12-22,morning,positive,Facebook,minecraft,minecraft
2015,2015-12-22,morning,positive,Facebook,video,video
2015,2015-12-22,morning,positive,Facebook,game,game
2015,2015-12-22,morning,positive,Facebook,addicated,addic
2015,2015-12-18,noon,neutral,Twitter,see,see
2015,2015-12-18,noon,neutral,Twitter,cloud,cloud
2015,2015-12-22,morning,positive,Facebook,lets,let
2015,2015-12-22,morning,positive,Facebook,time,time
2015,2015-12-22,morning,positive,Facebook,play,plai
2015,2015-12-22,morning,positive,Facebook,cricket,cricket
2015,2015-12-22,morning,positive,Facebook,match,match
2015,2015-12-18,noon,neutral,Twitter,hey,hei
2015,2015-12-18,noon,neutral,Twitter,everyone,everyon
2015,2015-12-18,noon,neutral,Twitter,watch,watch
2015,2015-12-18,noon,neutral,Twitter,cricket,cricket
2015,2015-12-18,noon,neutral,Twitter,match,match
2015,2015-12-18,noon,neutral,Twitter,eng,eng
2015,2015-12-18,noon,neutral,Twitter,aus,au
2015,2015-12-18,noon,neutral,Twitter,yesterday,yesterdai
2015,2015-12-22,morning,positive,Facebook,never,never
2015,2015-12-22,morning,positive,Facebook,miss,miss
2015,2015-12-22,morning,positive,Facebook,icarly,icarli
2015,2015-12-22,morning,positive,Facebook,son,son
2015,2015-12-22,morning,positive,Facebook,huge,huge
2015,2015-12-22,morning,positive,Facebook,crush,crush
2015,2015-12-22,morning,positive,Facebook,miranda,miranda
2015,2015-12-18,noon,neutral,Twitter,saw,saw
2015,2015-12-18,noon,neutral,Twitter,james,jame
2015,2015-12-18,noon,neutral,Twitter,carville,carvil
2015,2015-12-18,noon,neutral,Twitter,store,store
2015,2015-12-18,noon,neutral,Twitter,today,todai
2015,2015-12-18,noon,neutral,Twitter,head,head
2015,2015-12-18,noon,neutral,Twitter,really,realli
2015,2015-12-18,noon,neutral,Twitter,bald,bald
2015,2015-12-01,night,neutral,Instagram,red,red
2015,2015-12-01,night,neutral,Instagram,top,top
2015,2015-12-01,night,neutral,Instagram,tabloids,tabloid
2015,2015-12-01,night,neutral,Instagram,build,build
2015,2015-12-01,night,neutral,Instagram,excuse,excus
2015,2015-12-01,night,neutral,Instagram,knock,knock
2015,2015-12-01,night,neutral,Instagram,excuse,excus
2015,2015-12-18,noon,neutral,Twitter,saw,saw
2015,2015-12-18,noon,neutral,Twitter,black,black
2015,2015-12-18,noon,neutral,Twitter,snake,snake
2015,2015-12-18,noon,neutral,Twitter,garden,garden
2015,2015-12-18,noon,neutral,Twitter,went,went
2015,2015-12-18,noon,neutral,Twitter,back,back
2015,2015-12-18,noon,neutral,Twitter,picture,pictur
2015,2015-12-18,noon,neutral,Twitter,gone,gone
2016,2016-02-28,noon,neutral,Twitter,need,need
2016,2016-02-28,noon,neutral,Twitter,coffee,coffe
2016,2016-02-28,noon,positive,Twitter,errors,error
2016,2016-02-28,noon,positive,Twitter,red,red
2016,2016-02-28,noon,positive,Twitter,life,life
2016,2016-02-28,noon,positive,Twitter,blue,blue
2016,2016-02-28,noon,positive,Twitter,love,love
2016,2016-02-28,noon,positive,Twitter,rose,rose
2016,2016-02-28,noon,positive,Twitter,lips,lip
2016,2016-02-28,noon,positive,Twitter,baby,babi
2016,2016-03-08,noon,negative,Twitter,sleeping,sleep
2016,2016-03-08,noon,negative,Twitter,accepts,accept
2016,2016-03-08,noon,negative,Twitter,appology,appologi
2016,2016-03-08,night,negative,Facebook,studying,studi
2016,2016-03-08,night,negative,Facebook,psychology,psychologi
2016,2016-03-08,night,negative,Facebook,wolverine,wolverin
2016,2016-03-08,night,negative,Facebook,boss,boss
2016,2016-03-08,night,negative,Facebook,seriously,serious
2016,2016-03-08,night,negative,Facebook,william,william
2016,2016-04-10,night,positive,Twitter,really,realli
2016,2016-04-10,night,positive,Twitter,really,realli
2016,2016-04-10,night,positive,Twitter,song,song
2016,2016-04-10,night,positive,Twitter,cardigan,cardigan
2016,2016-04-10,night,positive,Twitter,taylor,taylor
2016,2016-04-10,night,positive,Twitter,swift,swift
2016,2016-05-15,morning,negative,Facebook,sharpie,sharpi
2016,2016-05-15,morning,negative,Facebook,running,run
2016,2016-05-15,morning,negative,Facebook,dangerously,danger
2016,2016-05-15,morning,negative,Facebook,low,low
2016,2016-05-15,morning,negative,Facebook,ink,ink
2016,2016-06-15,morning,negative,Instagram,now,now
2016,2016-06-15,morning,negative,Instagram,sad,sad
2016,2016-06-15,morning,negative,Instagram,giving,give
2016,2016-06-15,morning,negative,Instagram,firsti,firsti
2016,2016-06-15,morning,negative,Instagram,didnt,didnt
2016,2016-06-15,morning,negative,Instagram,nothing,noth
2016,2016-07-01,morning,neutral,Facebook,follow,follow
2016,2016-07-01,morning,neutral,Facebook,follow,follow
2016,2016-07-10,night,negative,Instagram,laying,lai
2016,2016-07-10,night,negative,Instagram,bed,bed
2016,2016-07-10,night,negative,Instagram,today,todai
2016,2016-07-10,night,negative,Instagram,learned,learn
2016,2016-07-10,night,negative,Instagram,workkk,workkk
2016,2016-07-10,night,negative,Instagram,life,life
2016,2016-07-10,night,negative,Instagram,definitely,definit
2016,2016-07-10,night,negative,Instagram,pinched,pinch
2016,2016-07-10,night,negative,Instagram,nerve,nerv
2016,2016-08-20,morning,neutral,Facebook,bad,bad
2016,2016-08-20,morning,neutral,Facebook,day,dai
2016,2016-08-20,morning,neutral,Facebook,day,dai
2016,2016-08-20,morning,neutral,Facebook,realize,realiz
2016,2016-08-20,morning,neutral,Facebook,mess,mess
2016,2016-08-20,morning,neutral,Facebook,youve,youv
2016,2016-08-20,morning,neutral,Facebook,put,put
2016,2016-08-20,morning,neutral,Facebook,one,on
2016,2016-08-20,morning,neutral,Facebook,happiest,happiest
2016,2016-08-20,morning,neutral,Facebook,days,dai
2016,2016-08-20,morning,neutral,Facebook,life,life
2016,2016-09-22,noon,negative,Twitter,walking,walk
2016,2016-09-22,noon,negative,Twitter,class,class
2016,2016-09-22,noon,negative,Twitter,hate,hate
2016,2016-09-22,noon,negative,Twitter,bikeespecially,bikeespeci
2016,2016-09-22,noon,negative,Twitter,mine,mine
2016,2016-09-28,morning,negative,Twitter,bumping,bump
2016,2016-09-28,morning,negative,Twitter,opus,opu
2016,2016-09-28,morning,negative,Twitter,drunk,drunk
2016,2016-09-28,morning,negative,Twitter,car,car
2016,2016-09-28,morning,negative,Twitter,laughing,laugh
2016,2016-09-28,morning,negative,Twitter,ass,ass
2016,2016-09-28,morning,negative,Twitter,act,act
2016,2016-09-28,morning,negative,Twitter,know,know
2016,2016-10-18,morning,neutral,Instagram,live,live
2016,2016-10-18,morning,neutral,Instagram,pain,pain
2016,2016-10-18,morning,neutral,Instagram,bring,bring
2016,2016-11-22,night,neutral,Facebook,night,night
2016,2016-11-22,night,neutral,Facebook,feeling,feel
2016,2016-11-22,night,neutral,Facebook,neutral,neutral
2016,2016-11-15,noon,negative,Instagram,want,want
2016,2016-11-15,noon,negative,Instagram,music,music
2016,2016-11-15,noon,negative,Instagram,tonight,tonight
2016,2016-11-15,noon,negative,Instagram,lost,lost
2016,2016-11-15,noon,negative,Instagram,voice,voic
2016,2016-11-15,night,neutral,Twitter,always,alwai
2016,2016-11-15,night,neutral,Twitter,somewhere,somewher
2016,2016-11-15,night,neutral,Twitter,miss,miss
2016,2016-11-28,night,neutral,Instagram,think,think
2016,2016-11-28,night,neutral,Instagram,honeymoon,honeymoon
2016,2016-11-28,night,neutral,Instagram,good,good
2016,2016-11-28,night,neutral,Instagram,life,life
2016,2016-11-28,night,neutral,Instagram,either,either
2016,2016-11-28,night,neutral,Instagram,honey,honei
2016,2016-11-28,night,neutral,Instagram,moon,moon
2016,2016-11-28,night,neutral,Instagram,joseph,joseph
2016,2016-11-28,night,neutral,Instagram,arthur,arthur
2016,2016-12-22,morning,positive,Facebook,tonight,tonight
2016,2016-12-22,morning,positive,Facebook,party,parti
2016,2016-12-22,morning,positive,Facebook,girls,girl
2016,2016-12-22,morning,positive,Facebook,minus,minu
2016,2016-12-22,morning,positive,Facebook,vita,vita
2016,2016-12-05,noon,negative,Instagram,phone,phone
2016,2016-12-05,noon,negative,Instagram,passed,pass
2016,2016-12-05,noon,negative,Instagram,away,awai
2016,2016-12-05,noon,negative,Instagram,yesterday,yesterdai
2016,2016-12-05,noon,negative,Instagram,jumped,jump
2016,2016-12-05,noon,negative,Instagram,table,tabl
2016,2016-12-05,noon,negative,Instagram,searching,search
2016,2016-12-05,noon,negative,Instagram,new,new
2016,2016-12-05,noon,negative,Instagram,phone,phone
2016,2016-12-12,noon,positive,Twitter,goodmorning,goodmorn
2017,2017-01-12,noon,neutral,Twitter,looking,look
2017,2017-01-12,noon,neutral,Twitter,forward,forward
2017,2017-01-12,noon,neutral,Twitter,gig,gig
2017,2017-01-12,noon,neutral,Twitter,ireland,ireland
2017,2017-01-12,noon,neutral,Twitter,see,see
2017,2017-03-28,morning,negative,Facebook,today,todai
2017,2017-03-28,morning,negative,Facebook,busy,busi
2017,2017-03-28,morning,negative,Facebook,day,dai
2017,2017-03-28,morning,negative,Facebook,exhausting,exhaust
2017,2017-03-20,night,negative,Facebook,gettn,gettn
2017,2017-03-20,night,negative,Facebook,ready,readi
2017,2017-03-20,night,negative,Facebook,take,take
2017,2017-03-20,night,negative,Facebook,trip,trip
2017,2017-03-20,night,negative,Facebook,jersey,jersei
2017,2017-03-20,night,negative,Facebook,dads,dad
2017,2017-03-20,night,negative,Facebook,good,good
2017,2017-03-20,night,negative,Facebook,needs,need
2017,2017-03-20,night,negative,Facebook,new,new
2017,2017-03-20,night,negative,Facebook,heartwhoeva,heartwhoeva
2017,2017-03-20,night,negative,Facebook,sees,see
2017,2017-03-20,night,negative,Facebook,please,pleas
2017,2017-03-20,night,negative,Facebook,say,sai
2017,2017-03-20,night,negative,Facebook,prayer,prayer
2017,2017-03-20,night,negative,Facebook,dad,dad
2017,2017-04-15,noon,negative,Twitter,wish,wish
2017,2017-04-15,noon,negative,Twitter,nails,nail
2017,2017-04-15,noon,negative,Twitter,done,done
2017,2017-04-15,noon,negative,Twitter,stupid,stupid
2017,2017-04-15,noon,negative,Twitter,job,job
2017,2017-06-12,noon,negative,Instagram,lost,lost
2017,2017-06-12,noon,negative,Instagram,please,pleas
2017,2017-06-12,noon,negative,Instagram,help,help
2017,2017-06-12,noon,negative,Instagram,find,find
2017,2017-06-12,noon,negative,Instagram,good,good
2017,2017-06-12,noon,negative,Instagram,home,home
2017,2017-06-18,morning,neutral,Facebook,yea,yea
2017,2017-06-18,morning,neutral,Facebook,know,know
2017,2017-06-18,morning,neutral,Facebook,tell,tell
2017,2017-06-18,morning,neutral,Facebook,everything,everyth
2017,2017-06-18,morning,neutral,Facebook,send,send
2017,2017-06-18,morning,neutral,Facebook,direct,direct
2017,2017-06-18,morning,neutral,Facebook,messages,messag
2017,2017-06-18,morning,neutral,Facebook,telling,tell
2017,2017-06-18,morning,neutral,Facebook,haha,haha
2017,2017-07-18,morning,neutral,Instagram,come,come
2017,2017-07-18,morning,neutral,Instagram,save,save
2017,2017-07-18,morning,neutral,Instagram,packing,pack
2017,2017-07-18,morning,neutral,Instagram,please,pleas
2017,2017-08-18,night,negative,Facebook,angry,angri
2017,2017-08-25,noon,neutral,Twitter,ahhh,ahhh
2017,2017-08-25,noon,neutral,Twitter,slept,slept
2017,2017-08-25,noon,neutral,Twitter,game,game
2017,2017-08-25,noon,neutral,Twitter,gonna,gonna
2017,2017-08-25,noon,neutral,Twitter,try,try
2017,2017-08-25,noon,neutral,Twitter,best,best
2017,2017-08-25,noon,neutral,Twitter,watch,watch
2017,2017-08-25,noon,neutral,Twitter,tomorrow,tomorrow
2017,2017-08-25,noon,neutral,Twitter,though,though
2017,2017-08-25,noon,neutral,Twitter,hope,hope
2017,2017-08-25,noon,neutral,Twitter,play,plai
2017,2017-08-25,noon,neutral,Twitter,army,armi
2017,2017-08-28,night,neutral,Facebook,discovered,discov
2017,2017-08-28,night,neutral,Facebook,shortcoming,shortcom
2017,2017-08-28,night,neutral,Facebook,gravity,graviti
2017,2017-08-28,night,neutral,Facebook,use,us
2017,2017-08-28,night,neutral,Facebook,twitpic,twitpic
2017,2017-08-28,night,neutral,Facebook,integrated,integr
2017,2017-08-28,night,neutral,Facebook,doesnt,doesnt
2017,2017-08-28,night,neutral,Facebook,subtract,subtract
2017,2017-08-28,night,neutral,Facebook,pic,pic
2017,2017-08-28,night,neutral,Facebook,url,url
2017,2017-08-28,night,neutral,Facebook,character,charact
2017,2017-08-28,night,neutral,Facebook,limit,limit
2017,2017-08-22,night,negative,Facebook,slipped,slip
2017,2017-08-22,night,negative,Facebook,caught,caught
2017,2017-08-22,night,negative,Facebook,flu,flu
2017,2017-08-22,night,negative,Facebook,feeling,feel
2017,2017-08-22,night,negative,Facebook,poop,poop
2017,2017-09-10,morning,neutral,Facebook,today,todai
2017,2017-09-10,morning,neutral,Facebook,concert,concert
2017,2017-09-10,morning,neutral,Facebook,downloading,download
2017,2017-09-10,morning,neutral,Facebook,songs,song
2017,2017-09-10,morning,neutral,Facebook,trying,try
2017,2017-09-10,morning,neutral,Facebook,sneak,sneak
2017,2017-09-10,morning,neutral,Facebook,lil,lil
2017,2017-09-10,morning,neutral,Facebook,homework,homework
2017,2017-09-10,morning,neutral,Facebook,main,main
2017,2017-09-10,morning,neutral,Facebook,priority,prioriti
2017,2017-09-10,morning,neutral,Facebook,songs,song
2017,2017-09-10,morning,neutral,Facebook,laughing,laugh
2017,2017-09-10,morning,neutral,Facebook,loud,loud
2017,2017-11-05,morning,negative,Facebook,distrube,distrub
2017,2017-11-15,noon,neutral,Facebook,please,pleas
2017,2017-11-15,noon,neutral,Facebook,pray,prai
2017,2017-11-15,noon,neutral,Facebook,lord,lord
2017,2017-11-15,noon,neutral,Facebook,knows,know
2017,2017-11-15,noon,neutral,Facebook,need,need
2017,2017-11-05,morning,neutral,Facebook,always,alwai
2017,2017-11-05,morning,neutral,Facebook,lee,lee
2017,2017-11-05,morning,neutral,Facebook,lets,let
2017,2017-11-05,morning,neutral,Facebook,paris,pari
2017,2017-12-28,morning,positive,Facebook,feedings,feed
2017,2017-12-28,morning,positive,Facebook,baby,babi
2017,2017-12-28,morning,positive,Facebook,fun,fun
2017,2017-12-28,morning,positive,Facebook,smiles,smile
2017,2017-12-28,morning,positive,Facebook,coos,coo
2017,2017-12-28,noon,neutral,Instagram,soooo,soooo
2017,2017-12-28,noon,neutral,Instagram,high,high
2017,2017-12-01,noon,positive,Twitter,feeling,feel
2017,2017-12-01,noon,positive,Twitter,smooth,smooth
2017,2017-12-01,noon,positive,Twitter,chrome,chrome
2017,2017-12-22,night,neutral,Facebook,little,littl
2017,2017-12-22,night,neutral,Facebook,wormy,wormi
2017,2017-12-22,night,neutral,Facebook,labyrinth,labyrinth
2017,2017-12-22,night,neutral,Facebook,sadly,sadli
2017,2017-12-22,night,neutral,Facebook,passed,pass
2017,2017-12-22,night,neutral,Facebook,away,awai
2017,2017-12-22,night,neutral,Facebook,today,todai
2017,2017-12-22,night,neutral,Facebook,hes,he
2017,2017-12-22,night,neutral,Facebook,still,still
2017,2017-12-22,night,neutral,Facebook,around,around
2017,2017-12-22,night,neutral,Facebook,happy,happi
2017,2017-12-22,night,neutral,Facebook,ghost,ghost
2017,2017-12-22,night,neutral,Facebook,form,form
2017,2017-12-22,night,neutral,Facebook,aww,aww
2017,2017-12-22,night,neutral,Facebook,url,url
2018,2018-03-10,morning,negative,Instagram,sunburn,sunburn
2018,2018-03-10,morning,negative,Instagram,peeling,peel
2018,2018-03-15,night,negative,Facebook,took,took
2018,2018-03-15,night,negative,Facebook,shift,shift
2018,2018-03-15,night,negative,Facebook,tomorrow,tomorrow
2018,2018-03-15,night,negative,Facebook,really,realli
2018,2018-03-15,night,negative,Facebook,feel,feel
2018,2018-03-15,night,negative,Facebook,working,work
2018,2018-03-15,night,negative,Facebook,right,right
2018,2018-03-15,night,negative,Facebook,now,now
2018,2018-05-28,morning,positive,Facebook,today,todai
2018,2018-05-28,morning,positive,Facebook,first,first
2018,2018-05-28,morning,positive,Facebook,time,time
2018,2018-05-28,morning,positive,Facebook,arrive,arriv
2018,2018-05-28,morning,positive,Facebook,boat,boat
2018,2018-05-28,morning,positive,Facebook,amazing,amaz
2018,2018-05-28,morning,positive,Facebook,journey,journei
2018,2018-06-22,noon,negative,Twitter,going,go
2018,2018-06-22,noon,negative,Twitter,dwell,dwell
2018,2018-06-22,noon,negative,Twitter,happened,happen
2018,2018-06-22,noon,negative,Twitter,passed,pass
2018,2018-06-22,noon,negative,Twitter,shame,shame
2018,2018-06-22,noon,negative,Twitter,supportive,support
2018,2018-06-22,noon,negative,Twitter,life,life
2018,2018-06-15,noon,positive,Facebook,frist,frist
2018,2018-06-15,noon,positive,Facebook,post,post
2018,2018-06-15,noon,positive,Facebook,find,find
2018,2018-06-15,noon,positive,Facebook,new,new
2018,2018-06-15,noon,positive,Facebook,car,car
2018,2018-06-15,noon,positive,Facebook,parents,parent
2018,2018-06-15,noon,positive,Facebook,exciting,excit
2018,2018-06-03,night,negative,Instagram,damnit,damnit
2018,2018-06-03,night,negative,Instagram,sucks,suck
2018,2018-06-03,night,negative,Instagram,one,on
2018,2018-06-03,night,negative,Instagram,ones,on
2018,2018-06-03,night,negative,Instagram,thought,thought
2018,2018-06-03,night,negative,Instagram,drag,drag
2018,2018-06-03,night,negative,Instagram,back,back
2018,2018-06-03,night,negative,Instagram,laughing,laugh
2018,2018-06-03,night,negative,Instagram,loud,loud
2018,2018-07-10,noon,positive,Twitter,degrees,degre
2018,2018-07-10,noon,positive,Twitter,gross,gross
2018,2018-07-10,noon,positive,Twitter,skies,ski
2018,2018-07-10,noon,positive,Twitter,thunderstormsperfect,thunderstormsperfect
2018,2018-07-10,noon,positive,Twitter,match,match
2018,2018-07-10,noon,positive,Twitter,mood,mood
2018,2018-07-10,noon,positive,Twitter,laughing,laugh
2018,2018-07-10,noon,positive,Twitter,loud,loud
2018,2018-07-15,morning,negative,Twitter,birds,bird
2018,2018-07-15,morning,negative,Twitter,man,man
2018,2018-07-15,morning,negative,Twitter,cool,cool
2018,2018-07-15,morning,negative,Twitter,didnt,didnt
2018,2018-07-15,morning,negative,Twitter,sleep,sleep
2018,2018-07-15,morning,negative,Twitter,yet,yet
2018,2018-07-15,morning,negative,Twitter,night,night
2018,2018-07-10,noon,neutral,Instagram,plan,plan
2018,2018-07-10,noon,neutral,Instagram,transform,transform
2018,2018-07-10,noon,neutral,Instagram,bedroom,bedroom
2018,2018-07-10,noon,neutral,Instagram,today,todai
2018,2018-07-10,noon,neutral,Instagram,random,random
2018,2018-08-18,morning,positive,Twitter,great,great
2018,2018-08-18,morning,positive,Twitter,day,dai
2018,2018-08-18,morning,positive,Twitter,looks,look
2018,2018-08-18,morning,positive,Twitter,dream,dream
2018,2018-08-18,noon,positive,Facebook,feel,feel
2018,2018-08-18,noon,positive,Facebook,sorry,sorri
2018,2018-08-18,noon,positive,Facebook,miss,miss
2018,2018-08-18,noon,positive,Facebook,sea,sea
2018,2018-08-18,noon,positive,Facebook,beach,beach
2018,2018-08-07,night,neutral,Facebook,minds,mind
2018,2018-08-07,night,neutral,Facebook,evening,even
2018,2018-08-07,night,neutral,Facebook,dear,dear
2018,2018-08-10,night,positive,Twitter,congratulations,congratul
2018,2018-08-10,night,positive,Twitter,guys,gui
2018,2018-08-10,night,positive,Twitter,finish,finish
2018,2018-08-10,night,positive,Twitter,month,month
2018,2018-08-10,night,positive,Twitter,early,earli
2018,2018-08-10,night,positive,Twitter,booo,booo
2018,2018-09-05,noon,neutral,Twitter,juss,juss
2018,2018-09-05,noon,neutral,Twitter,came,came
2018,2018-09-05,noon,neutral,Twitter,back,back
2018,2018-09-05,noon,neutral,Twitter,barisal,baris
2018,2018-09-22,morning,neutral,Twitter,want,want
2018,2018-09-22,morning,neutral,Twitter,wake,wake
2018,2018-09-22,morning,neutral,Twitter,early,earli
2018,2018-09-22,morning,neutral,Twitter,coffee,coffe
2018,2018-09-22,morning,neutral,Twitter,tomorrow,tomorrow
2018,2018-09-22,morning,neutral,Twitter,today,todai
2018,2018-09-22,morning,neutral,Twitter,going,go
2018,2018-09-22,morning,neutral,Twitter,busyy,busyi
2018,2018-09-22,morning,neutral,Twitter,day,dai
2018,2018-09-22,morning,neutral,Twitter,keep,keep
2018,2018-09-22,morning,neutral,Twitter,writing,write
2018,2018-09-22,morning,neutral,Twitter,booo,booo
2018,2018-09-22,morning,neutral,Twitter,whoo,whoo
2018,2018-09-05,night,negative,Instagram,argh,argh
